,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert._Rate,Med._Age,Urban_Pop_%,World_Share,Time,Time_Code,Country_code,Adolescent_fertility_rate,Agriculture_forestry_and_fishing_value_added,Annual_freshwater_withdrawals_total,Births_attended_by_skilled_health_staff,CO2_emissions,Contraceptive_prevalence_any_methods,Domestic_credit_provided_by_financial_sector,Electric_power_consumption,Energy_use,Exports_of_goods_and_services,External_debt_stocks_total,Fertility_rate_total,Foreign_direct_investment_net_inflows,Forest_area,GDP,GDP_growth,GNI_per_capita_Atlas_method,GNI_per_capita_PPP,GNI_Atlas_method,GNI_PPP,Gross_capital_formation,High-technology_exports,Immunization_measles,Imports_of_goods_and_services,Income_share_held_by_lowest_20%,Industry,Inflation_GDP_deflator,Life_expectancy_at_birth_total,Merchandise_trade,Military_expenditure,Mobile_cellular_subscriptions,Mortality_rate_under-5,Net_barter_terms_of_trade_index,Net_migration,Net_official_development_assistance_and_official_aid_received,Personal_remittances_received,Population_density,Population_growth,Population_total,Poverty_headcount_ratio_at_$1.90_a_day,Poverty_headcount_ratio_at_national_poverty_lines,Prevalence_of_HIV_total,Prevalence_of_underweight_weight_for_age,Primary_completion_rate_total,Revenue_excluding_grants,School_enrollment_primary,School_enrollment_primary_and_secondary,School_enrollment_secondary,Statistical_Capacity_score,Surface_area,Tax_revenue,Terrestrial_and_marine_protected_areas,Time_required_to_start_a_business,Total_debt_service,Urban_population_growth,Access_to_electricity,Adjusted_net_national_income,Cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions,Cause_of_death_by_injury,Cause_of_death_by_non-communicable_diseases,Central_government_debt_total,Cereal_yield,Child_employment_in_agriculture,Children_out_of_school_primary,Children_out_of_school_primary_female,Children_out_of_school_primary_male,Children_with_fever_receiving_antimalarial_drugs,Completeness_of_birth_registration,Condom_use_population_ages_15-24_male,Container_port_traffic,Coverage_of_social_insurance_programs,infection_rate,death_rate
11,Austria,3160,114270,21,1135,9015361,0.57 %,51296,109,82409,65000.0,1.5,43,57 %,0.12 %,2015,YR2015,AUT,7.7896,1.1297901935645,..,98.5,7.08859223258845,..,..,..,3800.29942035468,53.0890605587958,..,1.49,-7975773543.9206,38690,381817565893.574,1.01450158590511,47450,49390,410097061082.222,426846890617.193,23.8055256927841,15.0765930253279,96,49.3382548303838,7.9,25.174913250307,2.30097866680524,81.190243902439,80.8695114058912,0.698138152053235,155.2154711,3.7,88.41668954,..,..,2863606817.40518,104.730792682674,1.12099250236958,8642699,0.7,14.1,..,..,100.37378692627,45.1229783155468,101.997482299805,0.97282999753952,100.320999145508,..,83879.00390625,26.8261674155428,..,22,..,1.44900148037757,100,309521853224.159,2.4,5.4,92.2,..,6195.9,..,1512,521,991,..,..,..,285900,..,12675.033201665468,125.8962342162449
12,Azerbaijan,596,57040,13,753,10154978,0.91 %,91459,123,82658,1200.0,2.1,32,56 %,0.13 %,2015,YR2015,AZE,53.1988,6.17763883780802,..,99.8,3.89640608617728,..,..,..,..,37.7947774917249,13318815776.7,1.94,4047630000,11394.0002441406,53074370486.0433,1.0495463680441,6570,14370,63361890934.6455,138638584391.013,27.9135711658698,4.20227846117098,98,34.806730415594,..,44.8913203383597,-8.80961552629617,72.266,48.6279908054432,5.46487679293858,111.1650782,26.3,116.5485596,..,69580001.8310547,1269964000,116.731079539702,1.19120985807018,9649341,..,..,0.1,..,103.280212402344,34.1837072453108,106.601486206055,..,..,67.7778,86600,15.6031629275469,..,3.5,8.96023720795144,1.72630914534638,100,42685436844.6414,9.1,4.7,86.2,..,3083.6,..,5980,..,..,..,..,..,..,50.6120971907671,5616.949637901726,74.15082533906029
13,Bahrain,210,82133,1,322,1711057,3.68 %,60403,2239,760,47800.0,2.0,32,89 %,0.02 %,2015,YR2015,BHR,13.618,0.315466038696712,..,99.7,23.977086432856,..,..,..,..,82.9063889562962,..,2.056,64893617.0212766,6.00000023841858,31125851063.8298,2.86304730414378,22660,43140,31086415107.9603,59179331108.336,25.4690976577587,0.935550459342343,99,71.6506085452675,..,40.2986502975224,-9.36933214101725,76.762,87.1944029557425,4.63287736546327,183.6245336,7.6,126.1497638,..,..,..,1763.30455808254,2.6424711559791,1371851,..,..,..,..,98.7402725219727,..,101.200508117676,1.00213003158569,102.16024017334,..,778.000030517578,..,..,9.4,..,2.73693297454459,100,26130877572.8807,7,10.1,82.9,..,..,..,1408,555,853,..,..,..,269331,..,48001.323158725856,188.18776931452308
14,Bangladesh,1736,410988,25,5966,164972348,1.01 %,1643222,1265,130170,-369501.0,2.1,28,39 %,2.11 %,2015,YR2015,BGD,85.2192,14.7829964369364,..,..,0.518850858828864,..,..,..,..,17.3366737865485,35959560327,2.12,2831152765.15515,14290,195078678697.23,6.55263987869203,1220,3790,191313721797.989,591636233914.118,28.886689247008,0.307887774918671,97,24.7493225204896,..,26.8313948329541,5.87277704049652,71.514,38.1517859855471,1.35096990580134,84.07708629,37.5,67.89248122,..,2592909912.10938,15295536094.8351,1200.40159791042,1.11728356461223,156256276,..,..,..,..,..,9.84448413886165,..,..,65.6291885375977,76.6667,147630,8.49834882820801,..,19.5,4.65398848053981,3.39617261165386,73.1279678344727,189144045153.863,27,7.6,65.4,..,4560.4,..,..,..,..,..,..,..,2044651,..,2491.253867587555,36.16363634468002
15,Barbados,0,237,0,7,287437,0.12 %,350,668,430,-79.0,1.6,40,31 %,0.00 %,2015,YR2015,BRB,37.2136,..,..,99,4.39540312066283,..,..,..,..,41.443178154825,..,1.614,688525943.309105,63.0000019073486,4715000000,2.44870196122888,15740,14810,4490614013.41189,4225737707.64073,16.9233011664899,..,96,43.0882205726405,..,..,-2.00567851335853,78.801,44.559915164369,..,117.337483,14,121.6609197,..,..,198038294.834484,663.544186046512,0.175042007408615,285324,..,..,1,..,..,26.71413504772,95.917236328125,1.01370000839233,107.528121948242,..,430,25.3918081442206,..,19,..,-0.0773581665453587,100,4033970363.49381,12.9,4.2,82.8,141.72881485684,2743.5,..,905,396,509,..,..,..,86508,..,824.5285053768305,24.353162606066718
16,Belarus,941,100400,4,989,9448772,-0.03 %,-3088,47,202910,8730.0,1.7,40,79 %,0.12 %,2015,YR2015,BLR,17.2534,6.28329656129849,..,..,6.14141088532982,..,49.7830285481186,..,..,58.0107665670743,38257921211.1,1.724,1652300000,86335,56454734396.5842,-3.82957055828382,6710,17240,63692079404.265,163630254654.451,29.0346959914608,4.44153572873419,99,57.9040596348719,9.7,32.692428112127,16.0224937778597,73.6243902439025,100.880821792416,1.2818401017642,121.2815762,4,98.81150801,..,104580001.831055,931500000,46.751941760932,0.159300801922472,9489616,0,5.1,0.4,..,96.76220703125,29.6768850917047,99.1497802734375,0.991069972515106,105.46900177002,87.7777666666667,207600,14.1730944654204,..,9,14.8963571702265,0.793590772278005,100,45799464935.4706,2.3,6.9,90.8,37.5981780556757,3690.2,..,5885,2580,3305,..,..,..,..,49.6906123078658,10625.719405653985,104.66968617720906
17,Belgium,19,447260,26,11858,11598451,0.44 %,50295,383,30280,48000.0,1.7,42,98 %,0.15 %,2015,YR2015,BEL,5.2022,0.6864147804639,..,..,8.81183580629608,..,..,..,4687.7870492938,77.8052821516798,..,1.7,-19514245854.7289,6834.00024414063,462149679343.822,2.0327889725624,45540,46870,513408367110.753,528391165614.716,23.6279503740568,13.6531922606116,96,76.3872643576431,8.6,19.6698883181098,1.33899647968143,80.9926829268293,167.125724526444,0.921667505467612,113.1658212,3.9,95.60015645,..,..,10464912315.3811,372.33143989432,0.579446241677791,11274196,0.1,15.5,..,..,..,40.4201425769148,103.155807495117,1.08054995536804,163.934722900391,..,30530,24.3545378057285,..,4.5,..,0.623385919307908,100,381015398028.654,7.8,6.3,85.9,..,9842.2,..,7403,4338,3065,..,..,..,11237600,..,38562.04591457946,1022.3779020146742
18,Belize,90,3577,0,59,398845,1.86 %,7275,17,22810,1200.0,2.3,25,46 %,0.01 %,2015,YR2015,BLZ,70.1638,12.8560186796612,..,..,1.60524529483311,..,..,..,..,58.8154658313029,1279832151.2,2.439,59119223.8981488,13663.0004882813,1723800000,2.84964236798051,4400,6840,1588182520.55336,2469910477.61929,20.6052616312797,..,96,66.2613441234482,..,14.1609264415826,0.796180286639213,74.034,88.6993850794756,1.11873021815782,58.72170181,15.3,93.29744081,..,28270000.4577637,84744074.5377817,15.8234546251644,2.11879985453329,360933,..,..,..,4.6,104.231796264648,28.2414020639082,112.888328552246,0.982169985771179,80.6579513549805,54.4444666666667,22970,25.070481005337,..,43,9.4063731609944,2.27544121807876,91.8,1367091876.94638,19.1,13.7,67.3,..,2897.8,..,190,..,..,..,96,..,48141,..,8968.396244154997,147.92713961564016
19,Benin,0,2683,0,41,12175480,2.73 %,322049,108,112760,-2000.0,4.9,19,48 %,0.16 %,2015,YR2015,BEN,90.2036,26.3920850925037,..,..,0.57349144549824,..,..,..,..,24.7204512110389,2191225852.7,5.047,149755663.330268,43110,11388160958.249,1.77815106030278,1180,2860,12462818879.0211,30282958642.7141,20.7318663488996,0.964493026747258,67,32.0358619739087,3.2,16.3850954444902,0.851504261180196,60.608,37.2579911326824,1.09630266324075,88.1051181,99.6,119.385502,..,436630004.882813,214449579.452891,93.7916991841078,2.77171416813917,10575952,49.6,40.1,1.1,..,81.1403274536133,..,132.466842651367,0.859269976615906,58.8467597961426,66.6666666666667,114760,..,..,12.5,2.75957355416551,3.936139030894,37.7004013061523,9354967770.0722,54.8,10.2,35.1,..,1336.7,..,..,..,..,..,..,..,348200,..,220.36092211559622,3.3674237073199578
20,Bermuda,7,206,0,9,62237,-0.36 %,-228,1246,50,,N.A.,N.A.,97 %,0.00 %,2015,YR2015,BMU,..,..,..,..,8.54398577494367,..,..,..,..,..,..,1.62,-143094386.12,10,..,..,..,..,..,..,..,27.2467559570787,..,..,..,..,..,81.0121951219512,..,..,59.66212397,..,104.4890864,..,..,1445391571.511,1208.09257125691,0.151985016426637,65237,..,..,..,..,91.5730285644531,..,101.146339416504,1.04849994182587,76.9523773193359,..,4290,..,..,..,..,0.151869636092986,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3309.928177772065,144.6085126211096
21,Bhutan,2,356,0,0,773069,1.12 %,8516,20,38117,320.0,2.0,28,46 %,0.01 %,2015,YR2015,BTN,23.306,14.4368680116704,..,89,1.46604229291802,..,..,..,..,34.4356493984662,2011104022.8,2.037,6450953.8497443,27549.2993164063,2003598212.99135,6.64223210535566,2520,8820,1836530512.15315,6422593662.27931,55.4612985464317,..,97,67.7560787387541,..,42.487085982419,3.5570681649308,70.419,80.3554320202894,..,92.83820321,33.1,114.7558937,..,97279998.7792969,19656507.9192159,19.0958367480163,1.21914633778051,727876,..,..,..,..,..,19.6251272344171,104.233772277832,1.03524994850159,84.0172729492188,68.8889,38393.9990234375,13.2620386193551,..,15,17.2355189434556,3.20356530166702,95.464729309082,1650701110.56617,21.1,10.7,68.2,93.9692283182182,3476.6,..,9398,4030,5368,..,..,..,..,..,460.5022320129251,0.0
22,Bosnia and Herzegovina,0,51505,0,1248,3277152,-0.61 %,-20181,64,51000,-21585.0,1.3,43,52 %,0.04 %,2015,YR2015,BIH,10.608,6.23816745521441,..,99.9,5.41491199089276,..,63.9401711034731,..,..,34.8710711054333,13823720196,1.296,383089615.729344,21850,16211541253.1897,3.08822714327496,5210,12100,17873869881.7802,41479053647.328,18.6536294154269,2.91860242549636,83,53.3272298316422,..,22.5374691494678,1.36664740406253,76.865,86.8763788713113,1.00061377829509,100.4128758,6.3,103.2423171,..,356390014.648438,1801111957.91248,66.97970703125,-1.52627623457333,3429361,..,16.9,..,..,..,38.588864219357,..,..,..,67.7778,51210,19.9342163954154,..,82,13.0171682377064,-0.817919142344049,99.7,13735800886.514,1.8,3.8,94.4,..,3812.1,..,..,..,..,..,..,..,..,40.1629566997666,15716.39032916386,380.8184667662653
23,Botswana,0,6642,0,24,2359585,2.08 %,47930,4,566730,3000.0,2.9,24,73 %,0.03 %,2015,YR2015,BWA,46.8966,2.20105527421452,..,99.7,2.56084595957214,..,..,..,..,49.8155289755406,2236640614.3,2.968,378553780.934978,108400,14420604205.7459,-1.69796561588223,6840,15060,14509101919.4238,31933338415.3736,32.6031532940863,0.726919109112978,97,56.1192417415927,3.9,29.9804266966439,1.86533649350496,67.338,93.9905138967715,2.66027774310138,163.8751723,41.2,89.94063887,..,65540000.9155273,30045587.7772025,3.74202177403702,1.52530794175403,2120716,14.5,..,22.2,..,..,33.1408408373458,103.238388061523,..,..,45.5555333333333,581730,24.6874946514015,..,48,3.32939797192013,2.70418116136562,58.1154747009277,10934185547.2204,47.9,8.2,43.9,17.9091592446388,934.8,..,..,..,..,..,..,..,..,3.767816613,2814.901772981266,10.1712801191735
24,Brazil,10100,5545705,190,160074,212821986,0.72 %,1509890,25,8358140,21200.0,1.7,33,88 %,2.73 %,2015,YR2015,BRA,61.0878,4.31913275104669,..,99.2,2.46678804837845,..,..,..,..,12.9001914177405,543397356309.8,1.753,64738149686.45,4935380,1802214373741.32,-3.54576339269425,10190,14470,2084231874786.18,2958026429307.17,17.4116425416713,13.1387713190622,96,14.0534511983164,3.6,19.3600439775462,7.56617501207116,74.994,20.5427836662643,1.36551715396161,126.0879559,15.7,106.4117106,..,1003150024.41406,2896909951.71,24.4637884744692,0.838848282593092,204471769,3.2,..,0.5,..,..,28.5200949461167,..,..,..,72.2222333333333,8515770,12.8248632636748,..,86,39.7320404043592,1.16349738495069,99.710902,1530788148015.49,13.8,12.3,74,67.5375540277116,5000.2,56.07,..,..,..,..,96,..,10300067.6875,30.5353119182891,26057.951550174894,752.1497332517139
25,British Virgin Islands,0,72,0,1,30266,0.67 %,201,202,150,,N.A.,N.A.,52 %,0.00 %,2015,YR2015,VGB,..,..,..,..,7.29576015367728,..,..,..,..,..,..,..,25502445195.6437,36.1999988555908,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,196.1958013,..,54.30687682,..,..,..,194.346666666667,0.560707339226674,29152,..,..,..,..,95.0672607421875,..,118.531593322754,0.987879991531372,93.0670318603516,..,150,..,..,..,..,1.34926800444743,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2378.907024383797,33.04037533866384
26,Bulgaria,2427,56496,51,1349,6939018,-0.74 %,-51674,64,108560,-4800.0,1.6,45,76 %,0.09 %,2015,YR2015,BGR,41.4184,4.02404764726207,..,99.8,6.23257956160714,..,..,..,..,63.9907324535864,40378595624.5,1.53,2179500000,38230,50630703922.0132,3.98952626923408,7450,17770,53460196144.04,127548541849.325,21.0560119599501,8.18928878646791,92,63.0345227902482,5.3,23.6843697770452,2.4427427335286,74.6146341463415,107.792299479114,1.25994677740952,127.70783,8.1,111.4159724,..,..,1494740000,66.1200350036846,-0.638069468160719,7177991,3.4,22.9,0.1,..,96.191291809082,34.1210095542272,94.1982727050781,0.97545999288559,102.272270202637,84.4444333333333,111000,20.2967567998026,..,25,28.2718157474581,-0.178845947012378,100,41395532926.6333,2.3,2.6,95.2,..,4669.6,..,21711,10662,11049,..,..,..,201000,..,8141.786056759041,194.4079118976201
27,Burkina Faso,17,2517,0,67,20997293,2.86 %,581895,76,273600,-25000.0,5.2,18,31 %,0.27 %,2015,YR2015,BFA,108.7606,22.6330752128104,..,79.8,0.183849877287497,20.8,..,..,..,26.1076455357024,2631937046.4,5.436,231901703.683869,53500,11832159275.603,3.91255719996406,700,1640,12750289412.7115,29691629052.1441,18.8668809721255,5.29844027280505,88,32.9815357744638,..,24.3508115650612,-2.21579468260819,59.919,44.4213087195123,1.41977412524938,79.77028842,100.7,130.2652129,..,998390014.648438,384985616.449515,66.1938011695906,2.9394629768943,18110624,..,..,0.9,..,62.0298004150391,14.9763866393624,88.3661575317383,0.960349977016449,33.7187309265137,67.7778,274220,13.2802007024398,..,13,3.89722760183301,5.12815243169873,16.3046741485596,8740514218.78428,57.3,10.7,32,..,1168.9,..,917327,468549,448778,..,..,..,..,..,119.87259500546092,3.19088751107107
28,Burundi,8,597,0,1,11948454,3.12 %,360204,463,25680,2001.0,5.5,17,14 %,0.15 %,2015,YR2015,BDI,57.63,30.6808301089821,..,..,0.0397016544242488,..,..,..,..,5.73296859108573,625980607.8,5.697,49622865.7705811,2760,3104394858.11518,-3.9000030859375,260,840,2651125146.99185,8546596103.6737,12.1776185793127,3.49266770916697,93,26.8089855450836,..,11.7649457671668,21.3340425387921,60.123,31.5037243874894,2.20186273364944,49.18977601,67.2,146.2852647,..,366559997.558594,51041087.2628532,395.639797507788,3.15690921658653,10160030,..,..,1.3,..,64.539680480957,..,130.903427124023,1.00404000282288,44.3469314575195,55.5555666666667,27830,..,..,4,13.9184942516758,5.68911587759929,8.63160705566406,2195593935.88727,56.8,11.9,31.3,..,1201.6,..,..,..,..,..,..,..,..,..,49.964623038260854,0.08369283590998468
